Q101987239	A Court of Mist and Fury	Sarah J. Maas	2016	2022
Q109266172	Gender Queer: A Memoir	Maia Kobabe	2019	2023
Q109973523	All Boys Aren't Blue	George M. Johnson	2020	2021
olbp84989	The 1619 Project	Nikole Hannah-Jones (ed.)	2019	2020
Q59696	Maus	Art Spiegelman	1986	2022
Q1069956	The Bluest Eye	Toni Morrison	1970	2022
Q971767	Beloved	Toni Morrison	1987	2013
Q85788534	New Kid	Jerry Craft	2019	2021
Q2398396	And Tango Makes Three	Justin Richardson et al.	2005	2023
Q120065301	My Shadow is Purple	Scott Stuart	2022	2023
